0.00000000e+00  -1.31640000e-04  -1.10574000e-02  -5.03740000e-04  0.00000000e+00  -1.04769300e-02  
L
0.00000000e+00  -1.46686100e-02  5.63288000e-03  2.18178000e-02  0.00000000e+00  -7.70948800e-02  
-1.46686100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.02158300e-02  0.00000000e+00  
5.63288000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -7.81463000e-03  0.00000000e+00  
2.18178000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.63223700e-02  0.00000000e+00  
0.00000000e+00  -2.02158300e-02  -7.81463000e-03  3.63223700e-02  0.00000000e+00  5.32711000e-03  
-7.70948800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.32711000e-03  0.00000000e+00  
L
0.00000000e+00  2.17457300e-02  2.19996800e-02  9.31071000e-03  0.00000000e+00  -1.46957500e-02  
2.17457300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.74326500e-02  0.00000000e+00  
2.19996800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -7.68318000e-03  0.00000000e+00  
9.31071000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00674000e-03  0.00000000e+00  
0.00000000e+00  2.74326500e-02  -7.68318000e-03  1.00674000e-03  0.00000000e+00  4.87800000e-05  
-1.46957500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.87800000e-05  0.00000000e+00  
L
-1.85036900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.21305000e-03  0.00000000e+00  
0.00000000e+00  -3.30620300e-02  2.95547000e-03  -2.36974000e-03  0.00000000e+00  -4.10410000e-04  
0.00000000e+00  2.95547000e-03  4.97973000e-02  5.29636000e-03  0.00000000e+00  -2.58693400e-02  
0.00000000e+00  -2.36974000e-03  5.29636000e-03  -3.51031900e-02  0.00000000e+00  -2.90998000e-03  
3.21305000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.51023500e-02  0.00000000e+00  
0.00000000e+00  -4.10410000e-04  -2.58693400e-02  -2.90998000e-03  0.00000000e+00  6.81647200e-02  
L
0.00000000e+00  -1.25592400e-02  -1.92377000e-03  -1.04755000e-03  0.00000000e+00  2.67428500e-02  
-1.25592400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.28753000e-03  0.00000000e+00  
-1.92377000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.44758000e-03  0.00000000e+00  
-1.04755000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.12374300e-02  0.00000000e+00  
0.00000000e+00  6.28753000e-03  1.44758000e-03  1.12374300e-02  0.00000000e+00  6.22490000e-04  
2.67428500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.22490000e-04  0.00000000e+00  
L
-5.38783400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -5.93246000e-03  0.00000000e+00  
0.00000000e+00  -5.40145800e-02  1.55822000e-03  8.57320000e-04  0.00000000e+00  -4.21160000e-04  
0.00000000e+00  1.55822000e-03  7.07421000e-03  2.90284000e-03  0.00000000e+00  -1.49852900e-02  
0.00000000e+00  8.57320000e-04  2.90284000e-03  -4.25858900e-02  0.00000000e+00  -8.16170000e-04  
-5.93246000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -6.06815000e-02  0.00000000e+00  
0.00000000e+00  -4.21160000e-04  -1.49852900e-02  -8.16170000e-04  0.00000000e+00  -2.21763800e-02  
L
0.00000000e+00  5.07011800e-02  -1.43491800e-02  -5.57698000e-03  0.00000000e+00  1.44167000e-02  
5.07011800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30957000e-03  0.00000000e+00  
-1.43491800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.32043000e-03  0.00000000e+00  
-5.57698000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.29491800e-02  0.00000000e+00  
0.00000000e+00  1.30957000e-03  1.32043000e-03  -2.29491800e-02  0.00000000e+00  8.05760000e-04  
1.44167000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.05760000e-04  0.00000000e+00  
L
-3.34700800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -8.43512000e-03  0.00000000e+00  
0.00000000e+00  2.77555900e-02  -8.25850000e-04  3.03516000e-03  0.00000000e+00  3.07290000e-04  
0.00000000e+00  -8.25850000e-04  -4.35384000e-03  -2.01420000e-03  0.00000000e+00  1.47276000e-03  
0.00000000e+00  3.03516000e-03  -2.01420000e-03  2.16330600e-02  0.00000000e+00  4.42470000e-04  
-8.43512000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -4.83000700e-02  0.00000000e+00  
0.00000000e+00  3.07290000e-04  1.47276000e-03  4.42470000e-04  0.00000000e+00  -4.55790300e-02  
L
0.00000000e+00  1.73703200e-02  -1.26010100e-02  4.84806500e-02  0.00000000e+00  -1.87365000e-02  
1.73703200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -6.75569000e-03  0.00000000e+00  
-1.26010100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.01747900e-02  0.00000000e+00  
4.84806500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.46851000e-03  0.00000000e+00  
0.00000000e+00  -6.75569000e-03  1.01747900e-02  2.46851000e-03  0.00000000e+00  -2.39896900e-02  
-1.87365000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.39896900e-02  0.00000000e+00  
L
1.42858300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19213200e-02  0.00000000e+00  
0.00000000e+00  3.29253100e-02  4.31240000e-04  -1.64689200e-02  0.00000000e+00  6.79480000e-04  
0.00000000e+00  4.31240000e-04  1.33324800e-02  6.88610000e-04  0.00000000e+00  2.20914900e-02  
0.00000000e+00  -1.64689200e-02  6.88610000e-04  5.30665000e-03  0.00000000e+00  1.37032000e-03  
1.19213200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.16480000e-04  0.00000000e+00  
0.00000000e+00  6.79480000e-04  2.20914900e-02  1.37032000e-03  0.00000000e+00  -3.22443800e-02  
L
0.00000000e+00  -3.97140300e-02  2.67254900e-02  -3.71542100e-02  0.00000000e+00  -2.47993000e-03  
-3.97140300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -7.10049900e-02  0.00000000e+00  
2.67254900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.31752200e-02  0.00000000e+00  
-3.71542100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.21809600e-02  0.00000000e+00  
0.00000000e+00  -7.10049900e-02  1.31752200e-02  -3.21809600e-02  0.00000000e+00  -2.45339600e-02  
-2.47993000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.45339600e-02  0.00000000e+00  
L
0.00000000e+00  -3.44527000e-03  4.17558100e-02  -3.55643100e-02  0.00000000e+00  -4.80492400e-02  
-3.44527000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.92299100e-02  0.00000000e+00  
4.17558100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.63618000e-03  0.00000000e+00  
-3.55643100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.21340700e-02  0.00000000e+00  
0.00000000e+00  6.92299100e-02  -2.63618000e-03  2.21340700e-02  0.00000000e+00  -1.27408800e-02  
-4.80492400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.27408800e-02  0.00000000e+00  
L
0.00000000e+00  -8.61158000e-03  -6.48269000e-03  -7.08001000e-03  0.00000000e+00  1.83230400e-02  
-8.61158000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.64452000e-03  0.00000000e+00  
-6.48269000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.52386500e-02  0.00000000e+00  
-7.08001000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.36300200e-02  0.00000000e+00  
0.00000000e+00  2.64452000e-03  -2.52386500e-02  3.36300200e-02  0.00000000e+00  1.08383300e-02  
1.83230400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.08383300e-02  0.00000000e+00  
L
4.62591000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.86740000e-04  0.00000000e+00  
0.00000000e+00  -3.67368000e-03  2.34126000e-03  -3.35547000e-03  0.00000000e+00  -1.15259000e-03  
0.00000000e+00  2.34126000e-03  7.18226500e-02  6.02830000e-03  0.00000000e+00  -4.39708800e-02  
0.00000000e+00  -3.35547000e-03  6.02830000e-03  -2.53072000e-02  0.00000000e+00  -3.46201000e-03  
9.86740000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.23811500e-02  0.00000000e+00  
0.00000000e+00  -1.15259000e-03  -4.39708800e-02  -3.46201000e-03  0.00000000e+00  3.18534200e-02  
L
0.00000000e+00  9.32217000e-03  -1.46337100e-02  3.11149700e-02  0.00000000e+00  2.50694900e-02  
9.32217000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.89372000e-03  0.00000000e+00  
-1.46337100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.89720000e-04  0.00000000e+00  
3.11149700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.25020600e-02  0.00000000e+00  
0.00000000e+00  -2.89372000e-03  5.89720000e-04  -2.25020600e-02  0.00000000e+00  2.65795000e-03  
2.50694900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.65795000e-03  0.00000000e+00  
L
5.78261700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.24619200e-02  0.00000000e+00  
0.00000000e+00  1.98643900e-02  -1.46829000e-03  6.96649000e-03  0.00000000e+00  1.34058000e-03  
0.00000000e+00  -1.46829000e-03  -2.36562300e-02  -5.65067000e-03  0.00000000e+00  4.89036200e-02  
0.00000000e+00  6.96649000e-03  -5.65067000e-03  5.59196200e-02  0.00000000e+00  4.19556000e-03  
3.24619200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.46924600e-02  0.00000000e+00  
0.00000000e+00  1.34058000e-03  4.89036200e-02  4.19556000e-03  0.00000000e+00  -6.17878100e-02  
L
-1.91846300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -4.14450800e-02  0.00000000e+00  
0.00000000e+00  2.10886500e-02  -4.45450000e-04  -3.27232000e-03  0.00000000e+00  -7.47400000e-04  
0.00000000e+00  -4.45450000e-04  -7.48277000e-03  -1.02296000e-03  0.00000000e+00  -8.62133000e-03  
0.00000000e+00  -3.27232000e-03  -1.02296000e-03  9.11597000e-03  0.00000000e+00  5.24680000e-04  
-4.14450800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.04757600e-02  0.00000000e+00  
0.00000000e+00  -7.47400000e-04  -8.62133000e-03  5.24680000e-04  0.00000000e+00  -3.30621600e-02  
L
-5.07520500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.36736700e-02  0.00000000e+00  
0.00000000e+00  -2.74834500e-02  -8.05780000e-04  4.65560000e-04  0.00000000e+00  1.04368000e-03  
0.00000000e+00  -8.05780000e-04  -4.63858100e-02  -2.46450000e-03  0.00000000e+00  5.25477200e-02  
0.00000000e+00  4.65560000e-04  -2.46450000e-03  -1.33335800e-02  0.00000000e+00  5.03173000e-03  
4.36736700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.04799400e-02  0.00000000e+00  
0.00000000e+00  1.04368000e-03  5.25477200e-02  5.03173000e-03  0.00000000e+00  -1.12256440e-01  
L
5.21095200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.80965000e-02  0.00000000e+00  
0.00000000e+00  2.31296300e-02  -4.44140000e-04  1.83922000e-03  0.00000000e+00  -1.23820000e-04  
0.00000000e+00  -4.44140000e-04  1.94568200e-02  1.19519000e-03  0.00000000e+00  9.67884000e-03  
0.00000000e+00  1.83922000e-03  1.19519000e-03  1.08843000e-03  0.00000000e+00  -1.48872000e-03  
-2.80965000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.10897500e-02  0.00000000e+00  
0.00000000e+00  -1.23820000e-04  9.67884000e-03  -1.48872000e-03  0.00000000e+00  1.49598000e-03  
L
-4.25859000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.11643600e-02  0.00000000e+00  
0.00000000e+00  2.66673700e-02  -9.92040000e-04  -7.58355000e-03  0.00000000e+00  1.58650000e-04  
0.00000000e+00  -9.92040000e-04  -3.04743400e-02  -1.20384000e-03  0.00000000e+00  2.76779600e-02  
0.00000000e+00  -7.58355000e-03  -1.20384000e-03  -1.19731900e-02  0.00000000e+00  3.02460000e-03  
-1.11643600e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -2.17679000e-03  0.00000000e+00  
0.00000000e+00  1.58650000e-04  2.76779600e-02  3.02460000e-03  0.00000000e+00  -8.65345600e-02  
L
-9.00709500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.72307900e-02  0.00000000e+00  
0.00000000e+00  -3.56464800e-02  1.79093000e-03  -1.36204000e-02  0.00000000e+00  -9.01690000e-04  
0.00000000e+00  1.79093000e-03  1.22317000e-03  4.76400000e-03  0.00000000e+00  -3.15458900e-02  
0.00000000e+00  -1.36204000e-02  4.76400000e-03  -6.16345200e-02  0.00000000e+00  -4.29516000e-03  
3.72307900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -4.05435900e-02  0.00000000e+00  
0.00000000e+00  -9.01690000e-04  -3.15458900e-02  -4.29516000e-03  0.00000000e+00  1.98660100e-02  
L
7.79602100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.13609700e-02  0.00000000e+00  
0.00000000e+00  4.55792000e-02  -1.51506000e-03  -2.63905000e-03  0.00000000e+00  -1.08800000e-04  
0.00000000e+00  -1.51506000e-03  -2.89798400e-02  -2.73470000e-03  0.00000000e+00  5.25018000e-03  
0.00000000e+00  -2.63905000e-03  -2.73470000e-03  2.09528200e-02  0.00000000e+00  5.48920000e-04  
2.13609700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.17012300e-02  0.00000000e+00  
0.00000000e+00  -1.08800000e-04  5.25018000e-03  5.48920000e-04  0.00000000e+00  4.76149000e-03  
L
-1.46940400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.07707600e-02  0.00000000e+00  
0.00000000e+00  2.31239000e-03  -1.11054000e-03  -5.22251000e-03  0.00000000e+00  1.88900000e-04  
0.00000000e+00  -1.11054000e-03  -4.06817000e-02  -2.12879000e-03  0.00000000e+00  -9.40949000e-03  
0.00000000e+00  -5.22251000e-03  -2.12879000e-03  -4.08101000e-03  0.00000000e+00  -7.09660000e-04  
1.07707600e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.17681000e-03  0.00000000e+00  
0.00000000e+00  1.88900000e-04  -9.40949000e-03  -7.09660000e-04  0.00000000e+00  -3.49660000e-02  
L
6.12194000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.49676000e-02  0.00000000e+00  
0.00000000e+00  -1.72790000e-02  7.13530000e-04  -7.24514000e-03  0.00000000e+00  -5.93520000e-04  
0.00000000e+00  7.13530000e-04  -1.97324800e-02  3.02711000e-03  0.00000000e+00  -3.11312500e-02  
0.00000000e+00  -7.24514000e-03  3.02711000e-03  -5.74162900e-02  0.00000000e+00  -2.77939000e-03  
3.49676000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.60560200e-02  0.00000000e+00  
0.00000000e+00  -5.93520000e-04  -3.11312500e-02  -2.77939000e-03  0.00000000e+00  2.70796500e-02  
L
-1.75644130e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.23867800e-02  0.00000000e+00  
0.00000000e+00  -3.19729700e-02  -1.28566000e-03  -1.30090400e-02  0.00000000e+00  2.47524000e-03  
0.00000000e+00  -1.28566000e-03  -9.18122100e-02  -7.41700000e-04  0.00000000e+00  8.10006000e-02  
0.00000000e+00  -1.30090400e-02  -7.41700000e-04  -8.89812800e-02  0.00000000e+00  5.06208000e-03  
7.23867800e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -9.29320100e-02  0.00000000e+00  
0.00000000e+00  2.47524000e-03  8.10006000e-02  5.06208000e-03  0.00000000e+00  -1.63566670e-01  
L
-3.53760000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.56158000e-02  0.00000000e+00  
0.00000000e+00  7.34751000e-03  3.32520000e-04  -7.79635000e-03  0.00000000e+00  1.21583000e-03  
0.00000000e+00  3.32520000e-04  1.95920100e-02  8.53670000e-04  0.00000000e+00  4.91960900e-02  
0.00000000e+00  -7.79635000e-03  8.53670000e-04  1.97276000e-02  0.00000000e+00  5.00442000e-03  
-1.56158000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -5.57831700e-02  0.00000000e+00  
0.00000000e+00  1.21583000e-03  4.91960900e-02  5.00442000e-03  0.00000000e+00  1.41502800e-02  
L
9.90489900e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -8.52294000e-03  0.00000000e+00  
0.00000000e+00  8.95254700e-02  -1.13738000e-03  1.59338800e-02  0.00000000e+00  -1.91550000e-04  
0.00000000e+00  -1.13738000e-03  5.71437300e-02  -1.65517000e-03  0.00000000e+00  8.15060000e-04  
0.00000000e+00  1.59338800e-02  -1.65517000e-03  7.83686800e-02  0.00000000e+00  2.10812000e-03  
-8.52294000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.02587200e-01  0.00000000e+00  
0.00000000e+00  -1.91550000e-04  8.15060000e-04  2.10812000e-03  0.00000000e+00  1.30615400e-02  
L
-3.67324000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.15892600e-02  0.00000000e+00  
0.00000000e+00  -9.79563000e-03  1.28740000e-04  2.97780200e-02  0.00000000e+00  1.73320000e-04  
0.00000000e+00  1.28740000e-04  5.86413400e-02  3.59350000e-04  0.00000000e+00  6.54381000e-03  
0.00000000e+00  2.97780200e-02  3.59350000e-04  4.09526500e-02  0.00000000e+00  2.40415000e-03  
1.15892600e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.20419600e-02  0.00000000e+00  
0.00000000e+00  1.73320000e-04  6.54381000e-03  2.40415000e-03  0.00000000e+00  -1.48310500e-02  
L
1.24351350e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.71855500e-02  0.00000000e+00  
0.00000000e+00  1.31706590e-01  -3.98248000e-03  1.34699500e-02  0.00000000e+00  -1.56110000e-03  
0.00000000e+00  -3.98248000e-03  1.99693900e-02  -7.62887000e-03  0.00000000e+00  -9.56721400e-02  
0.00000000e+00  1.34699500e-02  -7.62887000e-03  1.45985940e-01  0.00000000e+00  -6.08694000e-03  
9.71855500e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.60687660e-01  0.00000000e+00  
0.00000000e+00  -1.56110000e-03  -9.56721400e-02  -6.08694000e-03  0.00000000e+00  7.60861300e-02  
L
1.53750300e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.47569400e-02  0.00000000e+00  
0.00000000e+00  -6.68026800e-02  4.09210000e-04  5.21020000e-03  0.00000000e+00  -1.39164000e-03  
0.00000000e+00  4.09210000e-04  -1.38783100e-02  1.55001000e-03  0.00000000e+00  -2.14958700e-02  
0.00000000e+00  5.21020000e-03  1.55001000e-03  -3.64644800e-02  0.00000000e+00  -2.69829000e-03  
2.47569400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.13608040e-01  0.00000000e+00  
0.00000000e+00  -1.39164000e-03  -2.14958700e-02  -2.69829000e-03  0.00000000e+00  5.80968200e-02  
L
6.81651200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.29679200e-02  0.00000000e+00  
0.00000000e+00  1.93198030e-01  -2.58030000e-03  -2.34818900e-02  0.00000000e+00  1.04070000e-04  
0.00000000e+00  -2.58030000e-03  3.97278700e-02  -4.14496000e-03  0.00000000e+00  6.89790000e-04  
0.00000000e+00  -2.34818900e-02  -4.14496000e-03  1.21910180e-01  0.00000000e+00  1.27780000e-03  
-1.29679200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.03948500e-01  0.00000000e+00  
0.00000000e+00  1.04070000e-04  6.89790000e-04  1.27780000e-03  0.00000000e+00  1.37418300e-02  
L
8.59874200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.96145000e-03  0.00000000e+00  
0.00000000e+00  -1.00835270e-01  1.33801500e-02  -5.02317000e-03  0.00000000e+00  4.15137000e-03  
0.00000000e+00  1.33801500e-02  3.21368570e-01  2.44453600e-02  0.00000000e+00  1.35987640e-01  
0.00000000e+00  -5.02317000e-03  2.44453600e-02  -1.01552310e-01  0.00000000e+00  3.95807000e-03  
9.96145000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -4.82996800e-02  0.00000000e+00  
0.00000000e+00  4.15137000e-03  1.35987640e-01  3.95807000e-03  0.00000000e+00  2.11773120e-01  
L
1.49662000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -1.81461100e-02  0.00000000e+00  
0.00000000e+00  0.00000000e+00  6.09160000e-04  1.38670000e-03  0.00000000e+00  -5.76870000e-04  
0.00000000e+00  6.09160000e-04  2.36733600e-02  1.39293000e-03  0.00000000e+00  -1.47441300e-02  
0.00000000e+00  1.38670000e-03  1.39293000e-03  7.07500000e-03  0.00000000e+00  -2.52885000e-03  
-1.81461100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.60547500e-02  0.00000000e+00  
0.00000000e+00  -5.76870000e-04  -1.47441300e-02  -2.52885000e-03  0.00000000e+00  3.04772000e-02  
L
-1.67350700e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -9.68993000e-03  0.00000000e+00  
0.00000000e+00  5.72681200e-02  1.01990000e-03  -2.48956700e-02  0.00000000e+00  2.75004000e-03  
0.00000000e+00  1.01990000e-03  -2.34017600e-02  -1.91889000e-03  0.00000000e+00  -2.23752000e-03  
0.00000000e+00  -2.48956700e-02  -1.91889000e-03  1.08962100e-02  0.00000000e+00  -1.05033000e-03  
-9.68993000e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  -3.53740000e-03  0.00000000e+00  
0.00000000e+00  2.75004000e-03  -2.23752000e-03  -1.05033000e-03  0.00000000e+00  -1.08844200e-02  
L
1.56465200e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  -6.36692000e-03  0.00000000e+00  
0.00000000e+00  1.23934720e-01  -1.15344000e-03  -5.03214000e-02  0.00000000e+00  -1.38760000e-04  
0.00000000e+00  -1.15344000e-03  -3.40149000e-03  -1.16665000e-03  0.00000000e+00  -1.87463000e-03  
